,unique_intersection_id,INTERSECTIONID,FULLINTERSECTION,LONGITUDE,LATITUDE,all_dropoffs,all_pickups,morning_dropoffs,morning_pickups,late_morning_dropoffs,late_morning_pickups,afternoon_dropoffs,afternoon_pickups,evening_dropoffs,evening_pickups,late_evening_dropoffs,late_evening_pickups,cluster_id
781,3198,14869,K STREET SE AND NEW JERSEY AVENUE SE//NEW JERSEY AVENUE SE AND K STREET SE,-77.00485939,38.87840579,1740,1427,93,181,320,237,369,276,651,484,307,249,5534
782,2095,14432,2ND STREET NE AND K STREET NE//K STREET NE AND 2ND STREET NE,-77.00356891,38.90251522,1815,1422,162,195,241,177,413,304,690,473,309,273,5038
783,347,18733,BELMONT ROAD NW AND COLUMBIA ROAD NW//COLUMBIA ROAD NW AND BELMONT ROAD NW,-77.04393113,38.92058834,1347,1413,75,289,181,325,262,273,505,306,324,220,1924
784,3539,17269,N STREET NE AND FLORIDA AVENUE NE//FLORIDA AVENUE NE AND N STREET NE,-77.00079334,38.90728015,1597,1410,106,135,261,221,383,285,581,493,266,276,3141
785,8047,14635,PEACE MONUMENT CIRCLE NW AND PENNSYLVANIA AVENUE NW//PENNSYLVANIA AVENUE NW AND PEACE MONUMENT CIRCLE NW,-77.01257003,38.89071064,1691,1404,65,32,514,320,653,625,342,337,117,90,7225
786,6819,18908,V STREET NW AND VERMONT AVENUE NW//VERMONT AVENUE NW AND V STREET NW,-77.02463815,38.91810992,1861,1404,47,92,94,74,346,185,796,576,578,477,6783
787,3880,16156,T STREET NW AND 1ST STREET NW//1ST STREET NW AND T STREET NW,-77.01215555,38.91552827,1296,1401,50,309,170,227,218,231,527,327,331,307,3880
788,5494,18599,MAINE AVENUE SW AND EAST BASIN DRIVE SW//EAST BASIN DRIVE SW AND MAINE AVENUE SW,-77.0328801,38.88380297,1741,1400,56,37,360,219,632,462,527,519,166,163,2241
789,4172,19182,N STREET NW AND NEW YORK AVENUE NW//NEW YORK AVENUE NW AND N STREET NW,-77.00955979,38.90717283,1612,1398,138,267,218,244,365,261,582,388,309,238,779
790,5764,15999,7TH STREET NW AND RHODE ISLAND AVENUE NW//RHODE ISLAND AVENUE NW AND 7TH STREET NW,-77.02191861,38.9123131,1580,1397,124,234,220,204,357,266,594,456,285,237,6602
791,653,19466,19TH STREET NW AND R STREET NW//R STREET NW AND 19TH STREET NW,-77.04343186,38.91260785,1972,1395,213,309,355,184,433,251,676,420,295,231,465
792,4140,11677,VERMONT AVENUE NW AND FLORIDA AVENUE NW//FLORIDA AVENUE NW AND VERMONT AVENUE NW,-77.02440957,38.91840162,1620,1388,58,125,168,151,303,241,603,483,488,388,6783
793,8259,16851,G STREET SW AND 3RD STREET SW//3RD STREET SW AND G STREET SW,-77.01519244,38.8812792,1797,1384,77,227,220,202,367,230,795,503,338,222,8259
794,1979,18974,4TH STREET SW AND 4TH STREET NW//4TH STREET NW AND 4TH STREET SW,-77.01755486,38.88970453,1930,1381,51,25,471,310,773,532,489,399,146,115,1979
