,cluster_ids,c_len,all_c_pickups,all_c_dropoffs,all_phhi,all_dhhi,all_hhi_ratio,morning_c_pickups,morning_c_dropoffs,morning_phhi,morning_dhhi,morning_hhi_ratio,late_morning_c_pickups,late_morning_c_dropoffs,late_morning_phhi,late_morning_dhhi,late_morning_hhi_ratio,afternoon_c_pickups,afternoon_c_dropoffs,afternoon_phhi,afternoon_dhhi,afternoon_hhi_ratio,evening_c_pickups,evening_c_dropoffs,evening_phhi,evening_dhhi,evening_hhi_ratio,late_evening_c_pickups,late_evening_c_dropoffs,late_evening_phhi,late_evening_dhhi,late_evening_hhi_ratio
165,3333,4,4402,4809,3391.1323608429607,3460.4343825591104,0.9799730282228618,354,596,3200.7086086373647,3135.5006531237327,1.0207966646247286,892,915,3052.41911158479,3284.218698677177,0.9294201731493241,1223,1207,3371.4997837175047,3459.061302852938,0.9746863349709313,1302,1325,3647.030091953535,3581.9209683161266,1.0181771524869843,631,766,3783.067653537137,4031.69290130821,0.9383322951779391
166,2841,4,7094,8119,2671.9312110624664,2658.9074595087686,1.0048981590190822,1380,1375,2880.2457466918713,3037.0644628099176,0.9483650353693986,1395,1312,2785.632250356496,2705.664875817966,1.0295555355924686,1458,1745,2681.228960505493,2683.8892948333755,0.9990087764301591,2068,2485,2599.6253119282874,2608.470136715666,0.9966091907042053,793,1202,2659.191634239698,2629.27012937395,1.0113801562385956
167,2429,4,3772,3594,3888.906537988797,3762.74499420756,1.0335291240770907,301,435,3985.496848820653,4394.820980314441,0.9068621604094323,850,884,4066.491349480969,4056.658340328822,1.0024239184883759,1212,1030,3952.294981973445,3693.7317372042608,1.0700005477292425,933,812,3680.0120392101458,3676.8363706957216,1.0008636959043742,476,433,3952.8458442200413,3172.399447434249,1.2460113897122875
168,6830,11,12531,14414,1071.202678390231,1097.8037729032883,0.9757688075322358,2198,797,1065.9123481434442,1089.389476534495,0.9784492792552623,1796,1896,1053.4855977896934,1109.9872705584933,0.9490970083464373,2496,3151,1069.377670940171,1084.2306135453816,0.9863009378082008,3668,5408,1118.500777153703,1125.9925302422885,0.9933465339357328,2373,3162,1101.9868307048196,1088.1990877598105,1.0126702393891847
169,5863,15,12295,14655,900.5049216255993,846.4426841812967,1.0638699329023005,1634,1273,837.0549926665458,898.7003626593539,0.931406092003354,2090,2162,885.355188754836,855.5009109494499,1.0348968392941316,2702,3312,902.8676841619084,832.87751756167,1.084034164837516,3567,5056,936.5929423918235,872.6941796186509,1.073220108791255,2302,2852,972.8366750930893,891.672682638005,1.0910244241361768
170,7548,1,2048,2596,10000.0,10000.0,1.0,56,104,10000.0,10000.0,1.0,380,549,10000.0,10000.0,1.0,709,941,10000.0,10000.0,1.0,647,773,10000.0,10000.0,1.0,256,229,10000.0,10000.0,1.0
171,725,4,7388,7026,2529.56512983345,2527.1341799143984,1.000961939392998,778,832,2589.759517846168,2820.0986963757396,0.9183222988523086,1508,1276,2540.2978983880844,2546.346340936115,0.9976246583385796,1792,1699,2560.69261200574,2586.658149151892,0.9899617438219792,2110,2063,2549.524943285191,2505.3589441088507,1.0176286113733097,1200,1156,2532.9305555555557,2529.9924569868654,1.0011613072444452
172,4883,3,2839,3306,5485.072372297445,4772.332765702353,1.1493482624927973,282,293,4836.527337659072,4214.958823049774,1.1474672803943446,464,574,5402.329815695601,5138.462285568601,1.0513514579776275,655,728,5818.70520365946,4945.809684820673,1.1764919344789622,950,1187,5363.013850415514,4440.7293560042835,1.2076876162615529,488,524,5868.8020693362005,5569.9696987355055,1.0536506276988429
173,8349,7,5544,6169,2017.9980853682152,2031.071330906647,0.993563374491335,883,486,1865.936289982288,2149.5706955240566,0.8680506734984961,825,943,2208.249770431589,2361.014743901876,0.9352968998330676,1089,1385,2257.4100635708455,2096.349489762671,1.0768290662385727,1802,2248,2055.5653417524736,1967.6208824609614,1.044695835501358,945,1107,1814.0925506004874,1936.1311649852419,0.9369677960916017
174,6559,1,2008,2688,10000.0,10000.0,1.0,32,68,10000.0,10000.0,1.0,259,473,10000.0,10000.0,1.0,677,952,10000.0,10000.0,1.0,760,921,10000.0,10000.0,1.0,280,274,10000.0,10000.0,1.0
175,6711,4,4474,4786,3103.9049640409835,3122.754607611105,0.9939637768769346,498,586,3499.1371106917627,3124.7306316905265,1.1198204015424769,931,956,2797.553189402846,2791.7053272876874,1.0020947275695604,1272,1302,3101.8971757446297,3123.2937156825965,0.9931493666988375,1151,1216,3177.631961328531,3323.950939231302,0.9559804038694358,622,726,3307.606414325741,3603.0857030105717,0.9179927115144827
176,5747,10,10309,11299,1295.6167189683194,1241.672884059103,1.0434444817163688,1441,920,1450.4202061083151,1381.0964083175804,1.0501947564074714,2154,2132,1541.6805683796165,1335.0437714941445,1.154779042678286,2327,2346,1406.79406876803,1322.4410561882191,1.0637858392138464,2504,3575,1334.8961150976331,1249.3935155753338,1.068435283564703,1883,2326,1364.8094911877492,1280.4300556940166,1.0658992930683726
177,2402,3,4677,6132,3502.507894070717,3497.14149123714,1.001534511213522,1077,433,3628.920390817024,3415.5070430798605,1.062483650317618,719,907,3623.8903901841722,3368.5690981208268,1.0757951773071177,859,1307,3461.0594391236527,3411.7450090706916,1.0144543129459707,1253,2359,3583.705571114561,3683.1892721515524,0.9729897939839303,769,1126,3501.7696466287093,3494.58464392417,1.0020560391109803
178,1787,6,5770,5724,2216.549474512584,2223.260551402239,0.9969814258227978,473,1180,2563.5031667776643,2472.206262568228,1.0369293232493446,1361,1113,2323.026084571735,2169.145337024094,1.070940727170801,1708,1539,2189.2362158515652,2179.9215628656025,1.0042729303405387,1726,1340,2171.223560593956,2307.395856538205,0.940984423822036,502,552,2338.772400438088,2286.481306448225,1.0228696792063832
179,5477,5,4365,4404,2815.5669184613103,3017.025435550705,0.9332261124763697,333,278,2322.592863133404,2480.2028880492726,0.9364527693781407,523,624,2242.7969246405314,2313.1882807363577,0.96956955182506,1094,1130,2566.4167855913424,2868.697627065549,0.8946278483231375,1515,1583,3229.7966430306396,3754.248492251652,0.8603044390099851,900,789,4380.864197530864,3703.441329690083,1.1829171323465977
